pr,	Year, Month, Country
185.568,1974,8,KOR
63.1889,1974,9,KOR
82.2678,1974,10,KOR
14.9003,1974,11,KOR
31.1333,1974,12,KOR
17.4397,1975,1,KOR
20.2361,1975,2,KOR
70.895,1975,3,KOR
144.346,1975,4,KOR
108.703,1975,5,KOR
132.76,1975,6,KOR
369.486,1975,7,KOR
115.03,1975,8,KOR
203.105,1975,9,KOR
80.1583,1975,10,KOR
84.4882,1975,11,KOR
34.0338,1975,12,KOR
5.0426,1976,1,KOR
104.964,1976,2,KOR
38.06,1976,3,KOR
105.341,1976,4,KOR
57.4116,1976,5,KOR
136.803,1976,6,KOR
118.571,1976,7,KOR
376.656,1976,8,KOR
60.6868,1976,9,KOR
58.0013,1976,10,KOR
36.3115,1976,11,KOR
39.9712,1976,12,KOR
6.63944,1977,1,KOR
2.59464,1977,2,KOR
59.9912,1977,3,KOR
221.974,1977,4,KOR
86.8342,1977,5,KOR
108.169,1977,6,KOR
167.05,1977,7,KOR
132.541,1977,8,KOR
102.416,1977,9,KOR
24.5542,1977,10,KOR
89.0496,1977,11,KOR
32.1949,1977,12,KOR
23.3625,1978,1,KOR
42.8124,1978,2,KOR
57.7858,1978,3,KOR
34.2174,1978,4,KOR
20.6466,1978,5,KOR
430.817,1978,6,KOR
209.632,1978,7,KOR
266.457,1978,8,KOR
68.4679,1978,9,KOR
92.4797,1978,10,KOR
35.89,1978,11,KOR
40.0732,1978,12,KOR
40.096,1979,1,KOR
70.4766,1979,2,KOR
66.8031,1979,3,KOR
112.155,1979,4,KOR
128.687,1979,5,KOR
305.541,1979,6,KOR
178.267,1979,7,KOR
289.139,1979,8,KOR
133.769,1979,9,KOR
26.9636,1979,10,KOR
24.8843,1979,11,KOR
36.0397,1979,12,KOR
33.0427,1980,1,KOR
12.3694,1980,2,KOR
60.8616,1980,3,KOR
174.123,1980,4,KOR
122.49,1980,5,KOR
181.932,1980,6,KOR
361.989,1980,7,KOR
346.093,1980,8,KOR
100.401,1980,9,KOR
85.9095,1980,10,KOR
32.7605,1980,11,KOR
32.5685,1980,12,KOR
24.0468,1981,1,KOR
28.9424,1981,2,KOR
33.693,1981,3,KOR
